sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
ilu_kivirahk_132,et,"""Ära lorise!"" käratas Ernesaks kääbusele.",kääbusele,A,7,31-40
tea_eesti_arst_2004_783,et,"Võimalikud komplikatsioonid sel puhul on uriinileke kateetri kõrvalt, põiekivide teke, uroinfektsioon, kateetri obstruktsioon ja naha infektsioon.",komplikatsioonid|puhul|uriinileke|kateetri|põiekivide|teke|uroinfektsioon|kateetri|obstruktsioon|naha|infektsioon,N|N|N|N|A|N|N|N|N|N|N,1|3|5|6|9|10|12|14|15|17|18,11-27|32-37|41-51|52-60|70-80|81-85|87-101|103-111|112-125|129-133|134-145
ilu_kivirahk_110,et,See on üks noor dirigent!,dirigent,H,4,16-24
aja_ee199920_684,et,"Kell pool seitse õhtul peab Meri Kopenhaageni foorumil kõne, kus arutleb Euroopa Liidu laienemise üle ning väidab, et uute riikide liitumine tuleb liidule kasuks, kuna sunnib liitu ennast liigutama.",Kell|õhtul|foorumil|kõne|laienemise|riikide|liitumine|liidule|kasuks|liitu,N|N|N|N|N|H|N|N|N|N,0|3|7|8|14|21|22|24|25|29,0-4|17-22|46-54|55-59|87-97|123-130|131-140|147-154|155-161|175-180
ilu_kivirahk_361,et,"""Su linnud und mul laulavad, mu põrmust lilled õitsetad,",linnud|und|põrmust|lilled,A|A|N|A,2|3|8|9,4-10|11-14|32-39|40-46
aja_ee200110_989,et,"Marica tunnistab, et ta tõmmati haneks, aga viha ei pea - ikkagi pullitegemine.",haneks|viha|pullitegemine,A|N|N,6|9|14,32-38|44-48|65-78
aja_luup200106_1185,et,17. juunil kulmineerub armeenia kiriku juubeliaasta Etshmiadzini pühaga.,juunil|kiriku|juubeliaasta|pühaga,N|N|N|A,1|4|5|7,4-10|32-38|39-51|65-71
aja_ml200247_675,et,"Sakslased imestavad ega suuda algul uskudagi, kui seletan, et Eestis saab mobiiltelefoniga parkida.",Sakslased|mobiiltelefoniga,H|N,0|13,0-9|74-90
aja_ee199920_1427,et,"Kuulajale jääb mulje, et Greenaway aimab tõde, kuid hoiab selle enese teada.",Kuulajale|mulje|tõde,H|N|N,0|2|7,0-9|15-20|41-45
tea_dr8047_91,et,"Dihomo-ω-linoleenhape, arahidoonhape ja eikosapentaeenhape on ka eikosanoidide prekursoriteks, mis mõjutavad mitmeid raku ainevahetusprotsesse (Sardesai, Detroit, 1992).",Dihomo-ω-linoleenhape|arahidoonhape|eikosapentaeenhape|eikosanoidide|prekursoriteks|raku|ainevahetusprotsesse,N|N|N|N|N|A|N,0|2|4|7|8|13|14,0-21|23-36|40-58|65-78|79-93|117-121|122-142
aja_horisont2000_1369,et,Üks savanni ruutkilomeeter elatab kõigi teiste taimtoiduliste kõrval ära ka kaks täiskasvanud kaelkirjakut.,savanni|ruutkilomeeter|kaelkirjakut,N|N|A,1|2|12,4-11|12-26|94-106
aja_luup200202_305,et,1997. aastal streikisid kahel korral haridustöötajad ja 2000. aastal meditsiiniõed.,aastal|korral|haridustöötajad|aastal|meditsiiniõed,N|N|H|N|N,1|4|5|8|10,6-12|30-36|37-52|62-68|69-82
ilu_kivirahk_302,et,"Ernesaks oli jälle ärkvel ja istus endiselt oma tugitoolis, kuid nüüd olid tugitoolile jämedad laevaköied külge seotud ja nende nööride teises otsas seisis Petrov, nagu kelgu ette rakendatud koer.",tugitoolis|tugitoolile|laevaköied|nööride|otsas|kelgu|koer,N|N|N|N|N|N|A,8|13|15|20|22|27|30,48-58|75-86|95-105|128-135|143-148|169-174|191-195
arborest_715,et,Väljusin toast linde vaatama.,toast|linde,N|A,1|2,9-14|15-20
aja_ee200110_2641,et,"Paha on vaadata nende Maimikute-Salmikute filme suvalistest pederastidest, kelle loome ei anna praegusele ega tulevasele põlvkonnale midagi.",filme|pederastidest|loome|põlvkonnale,N|A|A|N,5|7|10|16,42-47|60-73|81-86|121-132
aja_ml200247_1311,et,"Suurkompaniide võimu kasv tähendab aga demokraatia erosiooni, ühiskonna allutamist rahavõimule.",Suurkompaniide|võimu|kasv|demokraatia|erosiooni|ühiskonna|allutamist|rahavõimule,N|N|N|N|N|H|N|N,0|1|2|5|6|8|9|10,0-14|15-20|21-25|39-50|51-60|62-71|72-82|83-94
aja_sloleht20071217_24,et,"Kui ajalehtedes ilmusid esimesed fotod Dianast ja Dodist, oli printsess ehmunud ja endast väljas ning ütles mulle: ""Nüüd ei võta Hasnat mind enam tagasi.""",ajalehtedes|fotod|printsess,N|N|H,1|4|10,4-15|33-38|62-71
tea_eesti_arst_2004_1101,et,"Nesiritiid kutsub esile vasodilatatsiooni, suurendades cGMP kontsentratsioni veresoonte silelihasrakkudes (6).",Nesiritiid|vasodilatatsiooni|kontsentratsioni|veresoonte|silelihasrakkudes,N|N|N|N|A,0|3|7|8|9,0-10|24-41|60-76|77-87|88-105
tea_eesti_arst_2004_607,et,"Uuringud on käimas “ antiamüloidsete ” ravimitega, mis pärsivad amüloidi ladestumist, stabiliseerides amüloidi eellasproteiine, inhibeerides fibrillide moodustumist ja arengut ning soodustades fibrillide degradatsiooni.",Uuringud|ravimitega|amüloidi|ladestumist|amüloidi|eellasproteiine|fibrillide|moodustumist|arengut|fibrillide|degradatsiooni,N|N|N|N|N|N|A|N|N|A|N,0|6|10|11|14|15|18|19|21|24|25,0-8|39-49|64-72|73-84|102-110|111-126|141-151|152-164|168-175|193-203|204-218
aja_ee199920_478,et,""" Inimesi, keda meelitati maale isatalu tagasi võtma, on petetud.",Inimesi|maale|isatalu,A|N|N,1|5|6,2-9|26-31|32-39
arborest_1004,et,Perenaine valas tassid tühjaks.,Perenaine|tassid,H|N,0|2,0-9|16-22
aja_ml200247_314,et,""" Ma olin just saanud nelikümmend, kui mind valiti põllumajandusakadeemia rektoriks Eestis.",põllumajandusakadeemia|rektoriks,N|H,10|11,51-73|74-83
aja_pm20001004_1116,et,"Nõukogu liikmed on kinniste uste taga nõu pidanud juba kaks päeva, kuid vähemalt teisipäeva pärastlõunaks ei suudetud kokku leppida, kui karmisõnaliselt tuleks Iisrael hukka mõista.",Nõukogu|liikmed|uste|nõu|päeva|teisipäeva|pärastlõunaks,N|H|N|N|N|N|N,0|1|4|6|10|14|15,0-7|8-15|28-32|38-41|60-65|81-91|92-105
ilu_vilep_316,et,Seintelt oli krohvi maha kukkunud ja lagedest koorus värvi.,Seintelt|krohvi|lagedest|värvi,N|A|N|N,0|2|6|8,0-8|13-19|37-45|53-58
aja_sloleht20071217_492,et,"Karuks ei suuda siiamaani andestada sellele Eesti NSV spordikomitee juhtkonnale, kes 1960ndatel likvideeris spordikoolides jalgpalli- ja jäähokiosakonnad, mis andis hokile surmahoobi.",spordikomitee|juhtkonnale|spordikoolides|jalgpalli-|jäähokiosakonnad|hokile|surmahoobi,N|N|N|N|N|A|N,8|9|14|15|17|21|22,54-67|68-79|108-122|123-133|137-153|165-171|172-182
