sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
ssj147.1016.3819,sl,"Ko je strežaj prinesel kozarec na srebrnem pladnju, mu je naročil, naj pove lady Maridan, da bi rad govoril z njo.",strežaj|kozarec|pladnju|lady,N|A|N|H,2|4|7|15,6-13|23-30|43-50|76-80
ssj126.797.3021,sl,"Ja, se je nasmehnil Florijan in obmiroval s pogledom na skupinici kaplanov iz okoliških mestec in vasi, ki so se hranili ob obloženi mizi sredi prostora, ampak svet je ne glede na muke zadnjih dni odrešen.",pogledom|skupinici|kaplanov|mestec|vasi|mizi|prostora|svet|muke|dni,N|H|H|N|N|A|N|N|N|N,9|11|12|15|17|25|27|30|35|37,44-52|56-65|66-74|88-94|98-102|133-137|144-152|160-164|180-184|193-196
470.sl.131287,sl,Dolgo let je bil najdaljši poznani dinozaver.,let|dinozaver,N|A,1|6,6-9|35-44
ssj152.1038.3890,sl,Ubijalska velikost teh dveh mastodontov je bil moj prvi stik z metafiziko ure katekizma na šoli Bossuet so bile manj razburljive.,velikost|mastodontov|stik|metafiziko|ure|katekizma|šoli,N|A|N|N|N|N|N,1|4|9|11|12|13|15,10-18|28-39|56-60|63-73|74-77|78-87|91-95
ssj260.1657.5951,sl,"Storiti, kakor je storil Gulliver, ki je pobegnil od neblagih ljudi in živel srečno med blagimi konji.",ljudi|konji,H|A,12|18,62-67|96-101
1275.sl.132094,sl,"Glede na posebno teorijo relativnosti morata dva opazovalca, ki se medsebojno relativno premikata, uporabljati različne časovne koordinate.",teorijo|relativnosti|opazovalca|koordinate,N|N|H|N,3|4|7|18,17-24|25-37|49-59|128-138
ssj33.194.794,sl,"Sledi povzetek zgodbe ali dela zgodbe, ki je za razumevanje lika ključna.",povzetek|zgodbe|dela|zgodbe|razumevanje|lika,N|N|N|N|N|H,1|2|4|5|10|11,6-14|15-21|26-30|31-37|48-59|60-64
ssj386.2217.7844,sl,Sodišče je lucijskega podjetnika spoznalo za krivega vseh desetih očitanih dejanj - Petim oškodovancem mora vrniti denar,Sodišče|podjetnika|dejanj|oškodovancem|denar,N|H|N|H|N,0|3|10|13|16,0-7|22-32|75-81|90-102|115-120
ssj288.1766.6279,sl,"V nasprotju s tipično modnimi državami, kot sta Francija in Italija, odlikuje severnjake tehnična čistost, ki se lahko kosa z italijansko eleganco in francosko šarmantnostjo, po drugi strani pa so bolj eksperimentalni.",nasprotju|državami|severnjake|čistost|eleganco|šarmantnostjo|strani,N|H|H|N|N|N|N,1|5|14|16|24|27|31,2-11|30-38|78-88|98-105|138-146|160-173|184-190
ssj172.1179.4303,sl,"Oblikujemo podolgovato štruco, jo povaljamo v drobtinah ali moki in damo na pekač z ogreto maščobo, s katero pečenko polijemo tudi po vrhu.",štruco|drobtinah|moki|pekač|maščobo|pečenko|vrhu,N|A|N|N|N|N|N,2|7|9|13|16|20|24,23-29|46-55|60-64|76-81|91-98|109-116|134-138
ssj202.1358.4917,sl,"Šibke gospodarske subjekte, o katerih pišejo predstavniki SAS, bomo zaščitili podobno kot druge gospodarske subjekte: z znižanjem bremen, ki nam jih nalaga draga država, pa tudi z znižanjem nekaterih vrst stroškov, ki v strukturi stroškov storitve zavzemajo pomemben delež (stroški dela, pogonskih goriv, zavarovalnih premij... ) in poskusili zaustaviti padanje cen prevoznih storitev.",subjekte|predstavniki|subjekte|znižanjem|bremen|država|znižanjem|vrst|stroškov|strukturi|stroškov|storitve|delež|stroški|dela|goriv|premij|padanje|cen|storitev,N|H|N|N|N|N|N|N|N|N|N|N|N|N|N|A|N|N|N|N,2|7|16|19|20|27|32|34|35|39|40|41|44|46|47|50|53|61|62|64,18-26|45-57|108-116|120-129|130-136|162-168|180-189|200-204|205-213|220-229|230-238|239-247|267-272|274-281|282-286|298-303|318-324|354-361|362-365|376-384
ssj415.2312.8141,sl,V Portorožu so krupjeji za novo leto stavkali.,krupjeji|leto,A|N,3|6,15-23|32-36
ssj417.2331.8219,sl,"Manj »eksotike« si je privoščila slovenska moška izbrana vrsta, ki je v francoskem centru St. Pee de Bigorreu opravila prve skupne priprave na brzicah.",eksotike|vrsta|centru|priprave|brzicah,A|N|N|N|N,2|10|16|24|26,6-14|57-62|83-89|131-139|143-150
ssj347.2021.7168,sl,"To je bil najdaljši polet kateregakoli space shuttla v zgodovini, preučevali pa so predvsem, kako vesoljska potovanja učinkujejo na človeški organizem.",polet|space|shuttla|zgodovini|potovanja|organizem,N|N|N|N|N|A,4|6|7|9|18|22,20-25|39-44|45-52|55-64|108-117|141-150
ssj162.1116.4120,sl,Neučinkovito igro gostov so Goričani po podaji Paniča z desne strani in lepim strelom z glavo Ekmečića kaznovali z golom za 2:0.,igro|gostov|podaji|strani|strelom|glavo|golom,N|H|N|H|H|N|N,1|2|6|10|13|15|19,13-17|18-24|40-46|62-68|78-85|88-93|115-120
