sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
train-s2837,ja,プリザーブドフラワーは、植物の水分を保存液に変ることで掃除など手入れをすれば数年枯れないお花のインテリアでドライフラワーとは違った生花の趣があります。,プリザーブド|フラワー|植物|水分|保存|液|こと|掃除|手入れ|年|お|花|インテリア|フラワー|生花|趣,A|A|A|N|N|N|N|N|N|N|N|A|N|A|A|N,0|1|4|6|8|9|12|14|16|21|24|25|27|30|35|37,0-6|6-10|12-14|15-17|18-20|20-21|24-26|27-29|31-34|39-40|44-45|45-46|47-52|56-60|65-67|68-69
train-s5239,ja,このことは他の貴族用犬種などでも起こったが、イングリッシュ・グレイハウンドに対する圧力は酷い方であり、人気犬種から一気に絶滅寸前犬種にまで転落した事もあった。,こと|他|貴族|用|犬種|イングリッシュ|グレイハウンド|圧力|方|人気|犬種|一気|絶滅|寸前|犬種|事,N|A|H|A|A|A|A|N|N|N|A|N|N|N|A|N,1|3|5|6|7|15|17|20|23|27|28|30|32|33|34|40,2-4|5-6|7-9|9-10|10-12|22-29|30-37|41-43|46-47|51-53|53-55|57-59|60-62|62-64|64-66|73-74
train-s6071,ja,代謝については動物種による違いもあることから、ヒトの薬物代謝酵素遺伝子を導入した組換え菌を用いる方法も検討されている。,代謝|動物|種|違い|こと|ヒト|薬物|代謝|酵素|遺伝|子|組換え|菌|方法,N|A|A|N|N|A|N|N|N|N|H|N|A|N,0|5|6|9|12|15|17|18|19|20|21|26|27|30,0-2|7-9|9-10|13-15|18-20|23-25|26-28|28-30|30-32|32-34|34-35|40-43|43-44|48-50
train-s5069,ja,USコットン100%と書かれていて肌触りもよく、肌が弱い娘にぴったり。,コットン|%|肌触り|肌|娘,A|N|N|N|H,1|3|10|14|17,2-6|9-10|17-20|24-25|28-29
train-s1679,ja,米国でリステリア菌が繁殖したメロンを食べて少なくとも16人が死亡し、衝撃を与えている。,リステリア|菌|メロン|人|衝撃,A|A|A|H|N,2|3|8|15|20,3-8|8-9|14-17|28-29|34-36
train-s3468,ja,世界に愛と光を広げるためご協力下さい。,世界|愛|光|ため|ご,N|N|N|N|H,0|2|4|7|8,0-2|3-4|5-6|10-12|12-13
train-s3506,ja,かき釜飯をたべたら、かきがたくさんのっていてとても大満足でした。,かき|釜飯|かき|大,A|N|A|N,0|1|6|14,0-2|2-4|10-12|25-26
train-s5265,ja,コスモス・フューチャーモードとジャスティス・クラッシャーモードの必殺光線を収束させ、強力なエネルギー波で敵を蒸散させる。,コスモス|フューチャー|モード|ジャスティス|クラッシャー|モード|必殺|光線|エネルギー|波|敵,A|N|N|A|A|N|N|N|N|N|H,0|2|3|5|7|8|10|11|19|20|22,0-4|5-11|11-14|15-21|22-28|28-31|32-34|34-36|45-50|50-51|52-53
train-s1735,ja,おもしろい占い師がいると聞いたの受けてきました。,占い師,H,1,5-8
train-s1466,ja,この試みは時にはクラブ内に混乱を招いたが、同時にプロとしての厳しい規律をもたらし、1980年代中盤以降の全盛期を呼び込む一つの要因となった。,試み|時|クラブ|内|混乱|同時|プロ|規律|年|代|中盤|以降|全盛|期|つ|要因,N|N|N|N|N|N|H|N|N|N|N|N|N|N|N|N,1|3|6|7|9|15|17|23|28|29|30|31|33|34|38|40,2-4|5-6|8-11|11-12|13-15|21-23|24-26|33-35|45-46|46-47|47-49|49-51|52-54|54-55|61-62|63-65
