sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
CESS-CAST-P-20000201-67-s8,es,"El logotipo del TPR es un buitre leonado con una rosa marchita en su pico y con una gaviota en sus garras, en clara referencia a PSOE y PP.",logotipo|buitre|rosa|pico|gaviota|garras|referencia,N|A|A|N|A|N|N,1|8|12|16|20|23|27,3-11|26-32|49-53|69-73|84-91|99-105|116-126
3LB-CAST-a12-2-s8,es,"Las ratas conviven con nosotros como la sombra de un pecado antiguo, y las ciudades se las arreglan para mantenerlas recluidas en esos intestinos de su subconsciente que son las cloacas: nada nos repugnará tanto como encontrárnoslas en mitad de la calle a plena luz del día.",ratas|sombra|pecado|ciudades|intestinos|subconsciente|cloacas|mitad|calle|luz|día,A|N|N|N|N|N|N|N|N|N|N,1|7|10|15|26|29|33|45|48|51|55,4-9|40-46|53-59|75-83|135-145|152-165|178-185|236-241|248-253|262-265|270-273
CESS-CAST-P-20000102-69-s10,es,"Fuentes del hospital gijonés explicaron que el bebé se encontraba en ese momento en un estado de ""maduración fetal positiva"", según confirmaron la amniocentesis (análisis del líquido amniótico que envuelve al feto) y otras pruebas.",Fuentes|hospital|bebé|momento|estado|maduración|amniocentesis|análisis|líquido|feto|pruebas,H|N|H|N|N|N|N|N|N|A|N,0|4|9|14|17|20|28|30|34|41|45,0-7|12-20|47-51|73-80|87-93|98-108|147-160|162-170|175-182|209-213|223-230
3LB-CAST-a20-0-s2,es,"Ha llevado con empaque su ducado, a la sombra de Durero, y era duquesa de fallera, duquesa montando a caballo, duquesa, la gran duquesa, en su Palacio de las Dueñas o en las coronaciones o fastos reales, o arrancándose a bailar sevillanas, con duende, en las albas de aguardiente.",empaque|ducado|sombra|duquesa|fallera|duquesa|caballo|duquesa|duquesa|coronaciones|fastos|sevillanas|duende|albas|aguardiente,N|N|N|H|H|H|A|H|H|N|N|N|N|N|N,3|5|9|15|17|19|22|24|28|39|41|50|53|57|59,15-22|26-32|39-45|63-70|74-81|83-90|102-109|111-118|128-135|174-186|189-195|228-238|244-250|259-264|268-279
CESS-CAST-P-20000202-35_a-s2,es,"El ex asesor fiscal de la Unión Cristianodemócrata (CDU) y cerebro de la financiación irregular del ex canciller Helmut Kohl, Horst Weyrauch, abrió también cuentas secretas para la dirección federal del partido cristianodemócrata (CDU).",asesor|cerebro|financiación|canciller|cuentas|dirección|partido,H|N|N|H|N|N|N,2|12|15|21|30|34|39,6-12|59-66|73-85|103-112|156-163|181-190|203-210
CESS-CAST-P-20000201-73_a-s8,es,"La Asociación en Defensa de los Derechos del Animal (ADDA), la primera que denunció los hechos, ha empezado a recoger firmas para exigir a la Generalitat que elabore el reglamento de la ley de protección de animales y que se apliquen las sanciones.",hechos|firmas|reglamento|ley|protección|animales|sanciones,N|N|N|N|N|A|N,20|26|36|39|41|43|49,88-94|118-124|169-179|186-189|193-203|207-215|238-247
CESS-CAST-P-19990201-64-s5,es,"En la agenda de la negociación figura el estudio de reglas de intervención del Banco Central (emisor) en el régimen de cambio, la revisión de algunas metas del acuerdo firmado con el FMI en noviembre pasado y el anticipo a Brasil del segundo desembolso de la ayuda de 41.500 millones de dólares que en 1998 acordaron el FMI y otros organismos internacionales.",agenda|negociación|estudio|reglas|intervención|emisor|régimen|cambio|revisión|metas|acuerdo|noviembre|anticipo|desembolso|ayuda|millones|dólares|1998|organismos,N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|A,2|5|8|10|12|19|23|25|28|31|35|41|45|52|55|58|60|63|69,6-12|19-30|41-48|52-58|62-74|94-100|108-115|119-125|130-138|150-155|160-167|190-199|212-220|242-252|259-264|275-283|287-294|302-306|332-342
CESS-CAST-A-20000713-10055-s8,es,"En la hierba de Wimbledon, Gran Bretaña, con Tim Henman, Greg Rusedski y los jóvenes Arvind Parmar y Barry Cowan, buscará seguir una temporada más en la elite del tenis mundial frente a Ecuador, encabezada por Nicolás Lapentti.",hierba|jóvenes|temporada|elite|tenis,A|H|N|H|N,2|17|27|31|35,6-12|77-84|133-142|153-158|163-168
CESS-CAST-P-19990602-19_d-s1,es,Árboles que dan alergia.,Árboles|alergia,A|N,0|3,0-7|16-23
CESS-CAST-P-20000701-21-s10,es,"Los expertos creen que Nissan puede desviar la producción de Micra a la planta que Renault posee en Barcelona, dado que la firma francesa es propietaria del 36,8% de las acciones del grupo.",expertos|producción|planta|dado|firma|acciones|grupo,H|N|A|N|N|N|H,1|8|13|20|23|34|38,4-12|47-57|72-78|111-115|123-128|170-178|183-188
3LB-CAST-a15-0-s2,es,"A pesar de que, año y medio atrás, al descubrirlo, habían incluso dudado de si era creo que abuelo de no sé qué señora que decía que lo había perdido por ahí.",pesar|año|abuelo|señora,N|N|H|H,1|5|25|30,2-7|16-19|92-98|112-118
CESS-CAST-A-20000321-16875-s1,es,"Venezuela y Colombia defendieron hoy ante la Comisión de Derechos Humanos de la ONU la cooperación internacional, pero no la injerencia en asuntos nacionales para ayudar a resolver los problemas internos de derechos humanos.",cooperación|injerencia|asuntos|problemas|derechos|humanos,N|N|N|N|N|A,15|21|23|30|33|34,87-98|125-135|139-146|185-194|207-215|216-223
CESS-CAST-P-19990202-102-s8,es,"Según el ministro, Brasil tiene sus propuestas para frenar la especulación, que serán discutidas con la misión del Fondo Monetario Internacional (FMI) que se encuentra en Brasil y que está encabezada por el número dos de este organismo Stanley Fischer.",ministro|propuestas|especulación|misión|número|organismo,H|N|N|N|N|A,2|7|11|18|39|43,9-17|36-46|62-74|104-110|207-213|226-235
CESS-CAST-A-20000703-1329-s1,es,"El empresario catalán Joan Castells, precandidato en las elecciones del FC Barcelona, sostiene que la división que existe actualmente en la masa social del club podría repararse si sale elegido él presidente, pero está convencido de que la cohesión no será posible si los vencedores en las urnas son sus oponentes Joan Gaspart o Lluís Bassat.",empresario|precandidato|elecciones|división|masa|club|presidente|cohesión|vencedores|urnas|oponentes,H|H|N|N|H|N|H|N|H|N|H,1|6|9|19|25|30|39|48|54|57|60,3-13|37-49|57-67|102-110|140-144|156-160|197-207|240-248|272-282|290-295|304-313
3LB-CAST-dc10-0-s4,es,"A todo esto, el sistema inmunológico del organismo ha sido ya avisado de la presencia del invasor y de su cruel actividad devastadora.",sistema|organismo|presencia|invasor|actividad,N|A|N|A|N,5|10|17|21|26,16-23|41-50|76-85|90-97|112-121
CESS-CAST-A-20001114-10150-s23,es,"La Declaración de Viña del Mar, dedicada a la ""Gobernabilidad y la democracia"", reafirmó el compromiso con el sistema democrático, el Estado de Derecho, el pluralismo político, los derechos humanos y las libertades fundamentales como ""marco de la gobernabilidad para una democracia eficiente y participativa"".",Gobernabilidad|democracia|compromiso|sistema|pluralismo|derechos|humanos|libertades|marco|gobernabilidad|democracia,N|N|N|N|N|N|A|N|N|N|N,13|16|21|24|33|37|38|41|45|48|51,47-61|67-77|92-102|110-117|156-166|181-189|190-197|204-214|235-240|247-261|271-281
