sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
GUM_whow_quinoa-16,en,This is necessary to remove the excess saponins on the outside of the grains which impart a bitter flavor to quinoa if not removed.,saponins|outside|grains|flavor|quinoa,N|N|N|N|A,7|10|13|18|20,39-47|55-62|70-76|99-105|109-115
GUM_textbook_anthropology-30,en,"Innate human behaviors—that is, behaviors that people are born with—are biological, not cultural.",behaviors|behaviors|people,N|N|A,2|7|9,13-22|32-41|47-53
GUM_vlog_mermaid-42,en,"I ran for my life because I heard a little chirping sound and we already saw the gator warning, so I was like – and threw the tail off, probably good.",life|chirping|sound|gator|warning|tail,A|N|N|A|N|N,4|10|11|17|18|28,13-17|43-51|52-57|81-86|87-94|126-130
GUM_voyage_sydfynske-12,en,"You also find Shore Crabs, Beach Otters and - rare for Denmark - Seals in the shallow waters and beaches.",Seals|waters|beaches,A|N|N,14|18|20,65-70|86-92|97-104
GUM_academic_census-16,en,"This data set has shed considerable light on dramatic inequalities in faculty training, placement, and scholarly productivity [6, 19, 20].",data|set|light|inequalities|faculty|training|placement|productivity,N|N|N|N|H|N|N|N,1|2|6|9|11|12|14|18,5-9|10-13|36-41|54-66|70-77|78-86|88-97|113-125
GUM_academic_theropod-22,en,"If this were the case, it would support the idea that non-avian theropods have relatively thinner femora than extant birds because of postural differences [6].",case|idea|theropods|femora|birds|differences,N|N|A|N|A|N,4|10|13|17|20|24,17-21|44-48|64-73|98-104|117-122|143-154
GUM_whow_basil-8,en,"Basil comes in many different varieties, each of which have a unique flavor and smell.",Basil|varieties|flavor|smell,A|A|N|N,0|5|13|15,0-5|30-39|69-75|80-85
GUM_fiction_claus-57,en,"Or a Christmas tree, if that was more your thing.",tree|thing,A|N,3|10,15-19|43-48
GUM_vlog_wine-14,en,"And then the Chardonnay-Pinot Noir, it is a blended wine of 60% Chardonnay and 40% Pinot Noir, so it's more like a dry rosé style of wine with lots of strawberry flavors, hints of yellow apple, and it's 2018 vintage, which is unwooded.",wine|rosé|style|wine|lots|strawberry|flavors|hints|apple|vintage,N|N|N|N|N|N|N|N|A|N,12|31|32|34|36|38|39|41|44|51,52-56|119-123|124-129|133-137|143-147|151-161|162-169|171-176|187-192|208-215
GUM_voyage_socotra-40,en,There is a lot of walking and hiking along with camel back rides available.,lot|walking|hiking|camel|back|rides,N|N|N|A|N|N,3|5|7|10|11|12,11-14|18-25|30-36|48-53|54-58|59-64
GUM_whow_chicken-13,en,Hold the bird down gently with one hand.,bird|hand,A|N,2|7,9-13|35-39
GUM_whow_quinoa-2,en,Quinoa is known as the little rice of Peru.,Quinoa|rice,A|A,0|6,0-6|30-34
GUM_fiction_wedding-37,en,"I found that the lion, in place of his sword, now held a rather large plaque.",lion|place|sword|plaque,A|N|N|N,4|7|10|17,17-21|26-31|39-44|70-76
GUM_news_warming-20,en,"Climate change affects distribution of weeds, pests, and diseases.",Climate|change|distribution|weeds|pests|diseases,N|N|N|A|A|N,0|1|3|5|7|10,0-7|8-14|23-35|39-44|46-51|57-65
