sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
train-s2129,zh,漫长的岁月里，各地的矮人的语言保持了“惊人”的一致，矮人部落之间能用以沟通。,岁月|各地|矮人|语言|一致|矮人|部落,N|N|A|N|N|A|N,2|5|7|9|16|18|19,3-5|7-9|10-12|13-15|23-25|26-28|28-30
train-s3799,zh,克莉丝汀在2000年度格林美颁奖礼赢取了最佳新晋歌手，她亦因为《瓶中精灵》而被提名最佳流行乐女歌手。,年度|新晋|歌手|瓶中|精灵|女|歌手,N|H|H|N|A|H|H,3|10|11|17|18|26|27,9-11|22-24|24-26|32-34|34-36|46-47|47-49
train-s3017,zh,虽然第一次发现此蛇种是在莽山之上，但它们其实同样栖息在附近区域。,次|蛇种|莽山|之上|附近|区域,N|A|N|N|N|N,2|5|8|9|17|18,4-5|8-10|12-14|14-16|27-29|29-31
train-s3514,zh,辽西翼龙属（属名：Liaoxipterus）是翼龙目翼手龙亚目梳颌翼龙科的一属，化石发现于中国辽宁省朝阳市的九佛堂组，年代为下白垩纪的巴列姆阶到阿普第阶。,辽西翼龙|属名|翼龙|翼手龙|亚目|梳颌翼龙|属|化石|佛|年代|下,N|N|A|A|A|A|N|N|N|N|N,0|3|8|10|11|12|16|18|28|32|34,0-4|6-8|23-25|26-29|29-31|31-35|38-39|40-42|55-56|59-61|62-63
train-s3997,zh,加藤泽男于1999年5月被世界体育记者协会选为20世纪最伟大的25位运动员之一，也是唯一一位日本运动员。,年|月|世界|体育|记者|协会|世纪|位|位,N|N|H|N|H|H|N|H|H,4|6|8|9|10|11|15|20|29,9-10|11-12|13-15|15-17|17-19|19-21|25-27|33-34|45-46
train-s2647,zh,小水鸭曾经是中国东部最常见的候鸟之一，在迁徙季节，本物种结成遮天闭日的大群从天空飞过，景象非常壮观。,小水鸭|东部|候鸟|迁徙|季节|物种|群|天空|景象,A|N|A|N|N|A|A|N|N,0|4|8|13|14|17|23|25|29,0-3|8-10|14-16|20-22|22-24|26-28|36-37|38-40|43-45
train-s1998,zh,本鱼分布于非洲象牙海岸东部及迦纳西部的森林溪流。,本鱼|海岸|东部|西部|森林|溪流,A|N|N|N|N|N,0|5|6|9|11|12,0-2|9-11|11-13|16-18|19-21|21-23
train-s894,zh,新安东金氏是新罗王朝的直系后人。,王朝|后人,H|A,5|8,8-10|13-15
train-s1203,zh,猴群中母猴的联盟也不是那么坚固，因为结成联盟争得捕食区域后，霸占该区域是最有利的选择。,猴群|母猴|联盟|联盟|捕食|区域|区域|选择,A|A|N|N|N|N|N|N,0|2|4|12|14|15|20|25,0-2|3-5|6-8|20-22|24-26|26-28|33-35|40-42
train-s2190,zh,它首先认为“银河圣灵”对银河系进行精神领导，教士阶级被教导必须相信基地各项科学技术的运行都是由银河圣灵在冥冥中进行操作。,圣灵|精神|领导|教士|阶级|基地|科学|技术|运行|圣灵|冥冥|操作,A|N|N|H|H|N|N|N|N|A|N|N,5|11|12|14|15|20|22|23|25|29|31|34,8-10|17-19|19-21|22-24|24-26|33-35|37-39|39-41|42-44|49-51|52-54|57-59
train-s3321,zh,大的猫头鹰也会捕食其他小体型种属的猫头鹰。,猫头鹰|体型|种属|猫头鹰,A|N|N|A,2|8|9|11,2-5|12-14|14-16|17-20
train-s664,zh,在众多书迷的推动下，恶灵系列在2010年11月19日再度以Ghost Hunt之名重新出版。,书迷|推动|恶灵|系列|年|月|日|名,H|N|A|N|N|N|N|N,2|4|7|8|11|13|15|21,3-5|6-8|10-12|12-14|19-20|22-23|25-26|40-41
train-s3162,zh,这是鉴别蚊类的重要依据之一。,蚊类|依据,A|N,3|6,4-6|9-11
train-s3530,zh,这些植物大都按科属种植，并适当根据生态条件配置宿根草本或球根花卉。,植物|科属|生态|条件|宿根|草本|球根|花卉,A|N|N|N|N|A|N|A,1|5|11|12|14|15|17|18,2-4|7-9|17-19|19-21|23-25|25-27|28-30|30-32
train-s1505,zh,上帝点点头，开始快速地在黑板上写公式。,上帝|黑板|上|公式,H|N|N|N,0|7|8|10,0-2|12-14|14-15|16-18
train-s2606,zh,但由于吉布斯本人的纯数学推导式的写作风格和刊物发行量太小，美国轻视纯理论研究等原因，这篇文章在美国没有引起回应。,本人|数学|写作|风格|刊物|理论|研究|等|原因|篇|文章|回应,H|N|N|N|N|N|N|N|N|N|N|N,3|6|10|11|13|21|22|23|24|27|28|33,6-8|10-12|16-18|18-20|21-23|34-36|36-38|38-39|39-41|43-44|44-46|53-55
train-s3184,zh,被试者，又简称为被试，一词常用于心理学、神经科学和医学的研究中，通常指在做某些科学实验时的被测试或者被实验的人员，如果是被测试的动物，则叫做实验动物。,词|心理|神经|科学|医学|研究|科学|实验|人员|动物|实验|动物,N|N|N|N|N|N|N|N|H|A|A|A,11|15|18|19|21|23|31|32|41|48|52|53,12-13|16-18|20-22|22-24|25-27|28-30|39-41|41-43|54-56|64-66|70-72|72-74
train-s3112,zh,蔡蓝钦从小是个品学兼优的孩子，到了大学他看到了更多不同于自己的生命，也因此看到更深的自己，他的创作养份很大的成份来自大学校园。,个|孩子|大学|生命|创作|养份|成份|大学|校园,H|H|N|N|N|N|N|N|N,4|7|11|20|32|33|36|39|40,6-7|12-14|17-19|31-33|47-49|49-51|54-56|58-60|60-62
train-s3306,zh,最常见的宠物品种是英国短毛猪，它们毛短，光滑，阿比西尼亚猪的毛发竖立不顺滑。,宠物|品种|英国短毛猪|毛|阿比西尼亚猪|毛发,A|A|N|N|A|N,3|4|6|9|14|16,4-6|6-8|9-14|17-18|23-29|30-32
train-s3421,zh,其遗腹子赵武在十五年后，得到韩厥之助，成功恢复赵氏的声名，更攻打屠岸贾，灭其一族。,年|助|声名|族,N|N|N|H,7|14|20|30,9-10|17-18|26-28|39-40
train-s1403,zh,《死神傻了》是邱礼涛执导的一套香港电影，是一个环绕以陆永权饰演的漫画发烧友陆仔的故事，同时也是一套恶搞死神来了系列的电影。,死神|套|电影|个|漫画|故事|同时|套|死神|系列|电影,A|N|N|N|N|N|N|N|A|N|N,1|11|13|17|24|29|31|34|36|39|41,1-3|14-15|17-19|22-23|32-34|40-42|43-45|48-49|51-53|55-57|58-60
train-s698,zh,某些说唱乐手也以恋尸癖为主题。,说唱|乐手|主题,N|H|N,1|2|8,2-4|4-6|12-14
train-s1330,zh,此类植物会提供蚂蚁居所，有时还有食物。,植物|蚂蚁|居所|食物,A|A|N|N,1|4|5|10,2-4|7-9|9-11|16-18
