sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
tut-3323,it,"La prima sua opera che ci è conservata è la Madonna col Bambino, già nella fiorentina Collezione Contini Bonacossi, un tempo creduta opera di Leonardo e attribuita per la prima volta a Piero nel 1942 da Roberto Longhi, da far risalire agli anni 1435-1440, durante i quali era ancora collaboratore di Domenico Veneziano.",opera|Bambino|Collezione|tempo|opera|volta|anni|collaboratore,N|A|N|N|N|N|N|H,3|14|21|26|28|36|53|63,13-18|56-63|86-96|119-124|133-138|177-182|240-244|283-296
tut-3532,it,La battaglia di Austerlitz fu preceduta da una pesante sconfitta dell'esercito austriaco comandato dal generale Karl Mack von Leiberich a Ulma.,battaglia|sconfitta|esercito|generale,N|N|H|H,1|9|13|19,3-12|55-64|70-78|103-111
7_WIKIShake-218,it,"Con il crescere della sua maestria, Shakespeare ha dato ai suoi personaggi motivazioni più chiare e varie, e schemi di linguaggio distintivi.",maestria|personaggi|motivazioni|schemi|linguaggio,N|A|N|N|N,7|16|17|24|26,26-34|64-74|75-86|109-115|119-129
isst_tanl-370,it,"Tutti, incluse le autorità, conoscono la loro provenienza, ma nessuno dice e fa nulla per prevenire il massacro di capi selvatici.",autorità|provenienza|massacro|capi,H|N|N|A,4|9|20|22,18-26|46-57|103-111|115-119
7_WIKIShake-93,it,"Come testamento, Shakespeare lasciò l'enorme tenuta alla sua figlia maggiore, Susanna.",testamento|tenuta|figlia,N|N|H,1|7|12,5-15|45-51|61-67
isst_tanl-4114,it,Gli eredi presentarono ricorso.,eredi|ricorso,H|N,1|3,4-9|23-30
quest-619,it,Chi ha inventato il sassofono?,sassofono,N,4,20-29
tut-3211,it,"Il Reverendo, da ragazzo, come vedeva suo fratello, quello del lanternone, rompersi la schiena a zappare, e le sorelle che non trovavano marito neanche a regalarle, e la mamma la quale filava al buio per risparmiar l'olio della lucerna, aveva detto:",Reverendo|ragazzo|fratello|lanternone|schiena|sorelle|marito|mamma|buio|olio|lucerna,H|H|H|N|N|H|H|H|N|N|A,1|4|9|15|21|27|31|40|47|51|55,3-12|17-24|42-50|63-73|87-94|111-118|137-143|170-175|195-199|217-221|228-235
tut-2393,it,"La rabbia dei kosovari non può essere incanalata in un ambito istituzionale, allora cercano di esprimersi in modo diverso, è l'opinione prudente del rivale di Rugova, Adem Demaci, capo del partito parlamentare (Ppk), contrario a una guerra aperta contro Belgrado, ma anche a una politica passiva che porta diritto alla capitolazione.",rabbia|kosovari|ambito|modo|opinione|rivale|capo|partito|guerra|politica|capitolazione,N|H|N|N|N|H|H|N|N|N|N,1|5|12|22|27|32|39|43|52|61|69,3-9|14-22|55-61|109-113|127-135|149-155|180-184|189-196|233-239|279-287|319-332
tut-700,it,"L'usufruttuario può prendere nei boschi i pali occorrenti per le vigne e per le altre coltivazioni che ne abbisognano, osservando sempre la pratica costante della regione.",usufruttuario|boschi|pali|vigne|coltivazioni|pratica|regione,H|A|N|A|A|N|N,1|7|9|13|18|26|31,2-15|33-39|42-46|65-70|86-98|140-147|163-170
quest-2027,it,Quale strumento suonava il musicista jazz A Tatum?,strumento|musicista|jazz,N|H|N,1|4|5,6-15|27-36|37-41
tut-702,it,"L'usufruttuario può servirsi dei piantoni dei semenzai, ma deve osservare la pratica costante della regione per il tempo e il modo della estrazione e per la rimessa dei virgulti.",usufruttuario|piantoni|semenzai|pratica|regione|tempo|modo|estrazione|rimessa|virgulti,H|A|A|N|N|N|N|N|N|N,1|9|13|19|24|27|30|34|38|42,2-15|33-41|46-54|77-84|100-107|115-120|126-130|137-147|157-164|169-177
tut-1723,it,sia assistita da un interprete se non comprende o non parla la lingua impiegata nel processo.,interprete|lingua|processo,H|N|N,4|12|17,20-30|63-69|84-92
tut-1084,it,"Ciascun partecipante può esigere che siano estinte le obbligazioni in solido (1292) contratte per la cosa comune, le quali siano scadute o scadano entro l'anno dalla domanda di divisione.",partecipante|obbligazioni|solido|cosa|anno|domanda|divisione,H|N|N|N|N|N|N,1|8|10|17|28|32|34,8-20|54-66|70-76|101-105|155-159|166-173|177-186
isst_tanl-1659,it,"si snoda questo nastro di pietra come una serpe nel corpo rovente della roccia, sul fondo il crepitare azzurro, cilestrino, smeraldo delle onde del mare sulla costa, poi il sembiante dolomitico del Solaro che s'erge a dominare la scena.",nastro|pietra|serpe|corpo|roccia|fondo|onde|mare|costa|sembiante|scena,N|N|A|N|N|N|N|N|N|N|N,3|5|8|12|17|22|33|37|41|45|57,16-22|26-32|42-47|52-57|72-78|84-89|139-143|148-152|159-164|173-182|230-235
2Parole_1-111,it,Ma la musica e il cane non riescono a rallegrare Champion.,musica|cane,N|A,2|5,6-12|18-22
2_Europarl-3,it,"Come avrete avuto modo di constatare il grande ""baco del millennio"" non si è materializzato.",modo|baco|millennio,N|A|N,3|9|13,18-22|48-52|57-66
isst_tanl-3722,it,"Più concretamente, molti osservano che la troppa, l'incredibile facilità con la quale si acquistano armi da fuoco negli Usa certamente facilita il compito dello sciagurato che decide di giocare al genocidio privato.",facilità|armi|fuoco|compito|sciagurato|genocidio,N|N|N|N|H|N,11|17|19|27|31|39,64-72|100-104|108-113|147-154|161-171|197-206
tut-2962,it,Ma forse non è così e nel nuovo ecologismo c'è forse chi ancora vede negli animali dei totem.,ecologismo|animali|totem,N|A|A,10|20|22,32-42|75-82|87-92
2Parole_4-181,it,Samira Makhmalbaf ha dedicato il premio a tutte le donne del mondo.,premio|donne|mondo,N|H|N,5|9|13,33-39|51-56|61-66
tut-2732,it,"Niente di nuovo, in sostanza, sotto il cielo della 'terra delle aquile', ma le dimensioni della stangata questa volta sono colossali.",sostanza|cielo|terra|aquile|dimensioni|stangata|volta,N|N|N|A|N|N|N,5|9|14|18|23|27|29,20-28|39-44|52-57|64-70|79-89|96-104|112-117
isst_tanl-1729,it,"si prodigò, anzi, per far prenotare duecentoquaranta copie da amici e conoscenti.",copie|amici|conoscenti,N|H|H,9|11|13,53-58|62-67|70-80
tut-3214,it,"Si vede che è roba di un servo di Dio, e conviene lavorare per lui che ci ha in mano la messa e la benedizione!",roba|servo|Dio|mano|messa|benedizione,N|H|A|N|N|N,4|7|9|20|22|25,14-18|25-30|34-37|80-84|88-93|99-110
tut-386,it,"Il fondo inferiore è soggetto a ricevere le acque che dal fondo più elevato scolano naturalmente, senza che sia intervenuta l'opera dell'uomo (1).",fondo|acque|fondo|opera|uomo,N|N|N|N|A,1|8|13|24|28,3-8|44-49|58-63|126-131|137-141
tut-1164,it,Il deposito non produce effetto se il debitore lo ritira prima che sia stato accettato dal creditore o prima che sia stato riconosciuto valido con sentenza passata in giudicato.,deposito|effetto|debitore|creditore|sentenza|giudicato,N|N|H|H|N|N,1|4|7|18|27|30,3-11|24-31|38-46|91-100|147-155|167-176
8_WIT3-36,it,"E quel fluire di vita, dalla base fino alla cima della piramide, è il flusso vitale che gli ecologi vedono.",vita|base|cima|piramide|flusso|ecologi,A|N|N|N|N|N,4|9|14|18|22|26,17-21|29-33|44-48|55-63|70-76|92-99
isst_tanl-4094,it,"Una lettera firmata giunta da Genova il 4 agosto alla presidenza del Consiglio segnalò che Galeazzo Ciano, alla morte del padre avvenuta il 27 giugno 1939, aveva denunciato, per l'eredità lasciatagli da Costanzo, il valore di 100.000 lire.",lettera|agosto|presidenza|morte|padre|giugno|eredità|valore|lire,N|N|N|N|H|N|N|N|N,1|8|12|25|29|33|41|49|52,4-11|42-48|54-64|112-117|122-127|143-149|180-187|216-222|234-238
2Parole_4-88,it,"I funghi crescono nei boschi alla fine dell'estate e in autunno, dopo le giornate di pioggia.",funghi|boschi|fine|estate|autunno|giornate|pioggia,A|N|N|N|N|N|N,1|6|10|14|17|21|23,2-8|22-28|34-38|44-50|56-63|73-81|85-92
tut-3627,it,Nel periodo precedente alla seconda guerra mondiale il Ministro per le Ferrovie non permise che nuove linee private attraversassero la Yamanote per arrivare nei quartieri centrali.,periodo|guerra|Ministro|Ferrovie|linee|quartieri,N|N|H|N|N|N,3|9|12|15|20|30,4-11|36-42|55-63|71-79|102-107|161-170
quest-732,it,Quanti campionati mondiali di Formula 1 vinse il pilota brasiliano Ayrton Senna?,campionati|pilota,N|H,1|8,7-17|49-55
2Parole_6-167,it,Gli studenti che frequenteranno anche il quinto anno faranno l’esame di Stato per iscriversi all’università.,studenti|anno|esame|Stato|università,H|N|N|N|N,1|7|10|12|20,4-12|27-31|63-68|72-77|97-107
tut-78,it,Il proprietario può impedire l'accesso consegnando la cosa o l'animale [8963].,proprietario|accesso|cosa|animale,H|N|N|A,1|5|8|11,3-15|31-38|54-58|63-70
quest-1167,it,Quanto corre veloce un ghepardo?,ghepardo,A,4,23-31
9_PS-557,it,La zanzara maschio viene riprodotta nel laboratorio con una mutazione specifica da cui nascono delle zanzare con alti livelli di una proteina che inibisce il funzionamento normale delle cellule facendole morire prima che raggiungano la maturità.,zanzara|maschio|laboratorio|mutazione|zanzare|livelli|proteina|funzionamento|cellule|maturità,A|A|N|N|A|N|N|N|A|N,1|2|8|11|17|20|23|27|32|41,3-10|11-18|40-51|60-69|101-108|118-125|133-141|158-171|186-193|236-244
quest-1647,it,In quanto tempo può ucciderti un cobra?,tempo|cobra,N|A,2|8,10-15|33-38
2Parole_6-256,it,"Il riso è utile per curare i disturbi dell'intestino, dello stomaco e soprattutto l'ulcera.",riso|disturbi|intestino|stomaco|ulcera,A|N|N|N|N,1|7|11|16|20,3-7|29-37|43-52|60-67|84-90
2Parole_2-55,it,Oppure sono ragazzi o adulti italiani che hanno studiato poco o male e non capiscono i testi difficili.,ragazzi|adulti|testi,H|A|N,2|4|16,12-19|22-28|87-92
2Parole_4-91,it,"Quando andiamo nei boschi a cercare i funghi, portiamo un cestino di vimini con noi.",boschi|funghi|cestino|vimini,N|A|N|N,5|9|13|15,19-25|38-44|58-65|69-75
isst_tanl-444,it,"soccorritori che portavano aiuti al popolo in guerra, isolati turisti hanno conosciuto da vicino la ferocia di miliziani e guerriglieri.",soccorritori|aiuti|popolo|guerra|turisti|ferocia|miliziani|guerriglieri,H|N|H|N|H|N|H|H,0|3|7|9|12|18|20|22,0-12|27-32|36-42|46-52|62-69|100-107|111-120|123-135
tut-2498,it,"Ma se sarà messo con le spalle al muro dai clan che si stanno scontrando nel suo partito, allora anche l'Albania post-comunista diventerà vittima del demone dei Balcani.",spalle|muro|clan|partito|vittima|demone,N|N|H|N|H|A,6|10|14|23|33|37,24-30|34-38|43-47|81-88|138-145|150-156
quest-61,it,Quali esseri viventi sono in grado di assorbire l'anidride carbonica?,esseri|grado|anidride,A|N|N,1|5|9,6-12|29-34|50-58
isst_tanl-1672,it,Il popolare etologo ha esordito nel giallo:,etologo|giallo,A|N,2|8,12-19|36-42
8_WIT3-43,it,"Alcuni inquinanti li abbiamo creati noi, molecole come i PCB, che il nostro organismo non riesce a scindere, e che finiscono alla base di quella piramide, e risalgono, e in quel modo vengono passati verso l'alto, ai predatori fino ai predatori in cima alla piramide.",inquinanti|molecole|organismo|base|piramide|modo|predatori|predatori|cima|piramide,N|N|A|N|N|N|A|A|N|N,1|7|15|27|30|38|48|53|55|59,7-17|41-49|76-85|130-134|145-153|178-182|216-225|234-243|247-251|257-265
quest-1107,it,Quale uccello depone uova blu?,uccello|uova,A|A,1|3,6-13|21-25
quest-1206,it,"Chi disse ""la musica ha il potere di calmare la bestia selvaggia""?",musica|potere|bestia,N|N|A,4|7|11,14-20|27-33|48-54
isst_tanl-2792,it,"Alla fermata del 36 barrato, in piazza dei Cinquecento, c'è la signora Gina Fogli, 74 anni:",fermata|piazza|signora|anni,N|N|H|N,3|11|20|25,5-12|32-38|63-70|86-90
tut-705,it,"Se la mandria o il gregge perisce interamente per causa non imputabile all'usufruttuario, questi non è obbligato verso il proprietario che a rendere conto delle pelli o del loro valore.",mandria|gregge|causa|usufruttuario|proprietario|conto|pelli|valore,A|A|N|H|H|N|N|N,2|5|9|15|23|27|31|37,6-13|19-25|50-55|75-88|122-134|149-154|161-166|178-184
2Parole_2-90,it,Le cocciniglie sono insetti che si attaccano ai rami e alle foglie e che si nascondono sotto piccoli scudi bianchi.,cocciniglie|insetti|rami|foglie|scudi,A|A|N|N|N,1|3|10|15|22,3-14|20-27|48-52|60-66|101-106
isst_tanl-2652,it,"La guardia giurata ha subito chiamato il 113 e sul posto sono stati trovati i resti inequivocabili di una cerimonia allestita per propiziare la benevolenza dell'angelo Maligno o, chissà, semplicemente per prendersi burla della credulità popolare.",guardia|posto|resti|cerimonia|benevolenza|angelo|burla|credulità,H|N|N|N|N|A|N|N,1|12|17|21|26|30|41|45,3-10|51-56|78-83|106-115|144-155|161-167|215-220|227-236
tut-3164,it,"Le comari che avevano invidiato a Peppa il seminato prosperoso, la mula baia, e il bel giovanotto che portava lo stendardo di Santa Margherita senza piegar le reni, andavano dicendo ogni sorta di brutte storie, che Gramigna veniva a trovare la ragazza di notte in cucina, e che glielo avevano visto nascosto sotto il letto.",comari|seminato|mula|giovanotto|stendardo|reni|sorta|storie|ragazza|notte|cucina|letto,H|N|A|H|N|N|N|N|H|N|N|N,1|8|12|18|22|29|34|37|45|47|49|61,3-9|43-51|67-71|87-97|113-122|159-163|187-192|203-209|244-251|255-260|264-270|317-322
4_FB-51,it,Raggiungi i tuoi clienti.,clienti,H,3,17-24
5_WIKIBalzac-136,it,"La scrittura è semplice, ma i personaggi dinamici e complessi (soprattutto quello della borghese che dà il titolo all'opera).",scrittura|personaggi|borghese|titolo|opera,N|A|H|N|N,1|7|17|21|25,3-12|30-40|88-96|107-113|118-123
quest-1367,it,In quale periodo dell'anno il falco pellegrino si accoppia?,periodo|anno|falco,N|N|A,2|6|8,9-16|22-26|30-35
2Parole_5-179,it,Le donne che lavorano e hanno figli sono costrette spesso a sacrificare la loro carriera o a rinunciare al loro lavoro.,donne|figli|carriera|lavoro,H|H|N|N,1|6|14|22,3-8|30-35|80-88|112-118
isst_tanl-713,it,"le donne danno la scalata al potere in modo più diretto e dunque più ingenuo, perciò finiscono con lo scannarsi tra di loro.",donne|scalata|potere|modo,H|N|N|N,1|4|8|10,3-8|18-25|29-35|39-43
2Parole_1-245,it,Per trasportare i gatti ci sono cestini chiusi con uno sportello che lasciano passare l'aria necessaria per respirare.,gatti|cestini|sportello|aria,A|N|N|N,3|6|10|15,18-23|32-39|55-64|88-92
isst_tanl-968,it,ora ci sono colonne di serbi in marcia verso Banja Luca dalle città e dai villaggi della Kranjia.,colonne|serbi|marcia|città|villaggi,N|H|N|N|N,3|5|7|14|19,12-19|23-28|32-38|62-67|74-82
9_PS-470,it,Gli esseri umani hanno cinque competenze fondamentali applicabili al mondo del lavoro:,esseri|competenze|mondo|lavoro,A|N|N|N,1|5|11|15,4-10|30-40|69-74|79-85
isst_tanl-3736,it,"Si parte per vedere il mostro e si incontra, con un brivido, un uomo.",mostro|brivido|uomo,A|N|H,5|12|15,23-29|52-59|64-68
isst_tanl-1805,it,"Ci stiamo cinque mesi all'anno, scriviamo qui tutti i nostri spettacoli, e ogni volta riuniamo gli amici per una prima lettura"".",mesi|anno|spettacoli|volta|amici|lettura,N|N|N|N|H|N,3|7|14|18|21|25,17-21|26-30|61-71|80-85|99-104|119-126
