sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
train-s3806,de,Christoph Amberger war der Schöpfer der thronenden Muttergottes (1554) in der St. - Wolfgangs - Kapelle.,Schöpfer,H,4,27-35
train-s10567,de,Der Orangestreifen - Falterfisch ist durch seine orangen Streifen auf den Seiten unverwechselbar.,Orangestreifen|Falterfisch|Streifen|Seiten,A|A|N|N,1|3|8|11,4-18|21-32|57-65|74-80
train-s1035,de,"Jedoch konnte er mir auch nicht sagen, warum der Welli dann lahmt.",Welli,A,10,49-54
train-s236,de,Danke... die Blumen sind genau zur richtigen Zeit eingetroffen... ;-),Danke|Blumen|Zeit,N|A|N,0|3|10,0-5|13-19|45-49
train-s10914,de,Puccinia agropyri ist mit bloßem Auge nur anhand der auf der Oberfläche des Wirtes hervortretenden Sporenlager zu erkennen.,Auge|Oberfläche|Wirtes|Sporenlager,N|N|A|N,5|11|13|15,33-37|61-71|76-82|99-110
train-s13173,de,"Die Basis der Wirtschaft bildet die Viehwirtschaft mit der Aufzucht von Rindern, Wollschafen, Schweinen und Ziegen.",Basis|Wirtschaft|Viehwirtschaft|Aufzucht|Rindern|Wollschafen|Schweinen|Ziegen,N|N|A|N|A|A|A|A,1|3|6|9|11|13|15|17,4-9|14-24|36-50|59-67|72-79|81-92|94-103|108-114
train-s8782,de,Das visuelle Wahrnehmungssystem des Menschen versucht mehrere Objekte bestimmter Eigenschaften zu Gruppen zusammenzufassen.,Wahrnehmungssystem|Menschen|Objekte|Eigenschaften|Gruppen,N|A|N|N|N,2|4|7|9|11,13-31|36-44|62-69|81-94|98-105
train-s4209,de,Kurz vor seinem Tode wurde er Anfang 1863 noch zum Generalmajor befördert und zum Befehlshaber in Ost - Tennessee ernannt.,Tode|Anfang|Generalmajor|Befehlshaber,N|N|H|H,3|6|12|18,16-20|30-36|51-63|82-94
train-s11111,de,Jahrhunderts meist nur von einer betuchten Oberklasse besucht.,Jahrhunderts|Oberklasse,N|H,0|6,0-12|43-53
train-s8308,de,Jahrhunderts waren ihre Eigentümer die Herren von Reischach.,Jahrhunderts|Eigentümer|Herren,N|H|H,0|3|5,0-12|24-34|39-45
train-s9527,de,Zusammen mit W. Kordes 'Söhne beherrscht das Unternehmen 50 Prozent des Weltmarkts für Schnittrosen.,Söhne|Unternehmen|Prozent|Weltmarkts|Schnittrosen,H|N|N|N|A,5|8|10|12|14,24-29|45-56|60-67|72-82|87-99
train-s1052,de,"Anstatt dessen schwärmt er von seinen Mikroorganismen, die für 18 Euro zu kaufen sind.",Mikroorganismen,A,6,38-53
train-s13181,de,Süßwasserpolypen wurden bereits 1702 erstmals wissenschaftlich beschrieben;,Süßwasserpolypen,A,0,0-16
train-s4528,de,Der Berg ist heute mit Wald überwachsen.,Berg|Wald,N|A,1|5,4-8|23-27
train-s7223,de,Eine lebensgroße Figur des Heiligen Blasius ist urkundlich vom Bildhauer Jakob Peyer von 1758.,Figur|Bildhauer,N|H,2|11,17-22|63-72
