sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
fr-ud-dev_00251,fr,"Les écartes incluent Le Coudray (ferme), Les Cent Arpents (ferme), Le Petit Moulin (ancien moulin) et Les Moines (ancien Moulin).",écartes|ferme|Arpents|ferme|Moulin|moulin|Moines|Moulin,N|N|A|N|N|N|N|N,1|6|11|13|18|21|25|28,4-11|33-38|50-57|59-64|76-82|91-97|106-112|121-127
fr-ud-dev_01011,fr,"Plusieurs de ces propositions seront reprises dans le cadre de la correction des eaux du Jura, en particulier le projet du grison Richard La Nicca de détourner le cours de l'Aar dans le lac de Bienne.",propositions|cadre|correction|eaux|projet|grison|cours|lac,N|N|N|N|N|H|N|N,3|8|11|15|24|28|35|41,17-29|54-59|66-76|81-85|113-119|123-129|163-168|186-189
fr-ud-dev_00640,fr,Il est acheté par le collectionneur néerlandais Gerard Meerman.,collectionneur,H,5,21-35
fr-ud-dev_00550,fr,Les chambres d'internat ressemblent à de grandes cellules.,chambres|internat|cellules,N|N|A,1|3|8,4-12|15-23|49-57
fr-ud-dev_00494,fr,Le Parti communiste d'Inde (Communist Party of India)--CPI est un parti politique indien.,Parti|parti,H|H,1|15,3-8|66-71
fr-ud-dev_00321,fr,"Le parc offre également une large place à l'herbe caractéristique du Kentucky, le pâturin des prés, que l'on retrouve le long des routes ou dans des prairies.",parc|place|herbe|pâturin|prés|long|routes|prairies,N|N|A|A|N|N|N|N,1|6|9|17|21|27|31|35,3-7|34-39|44-49|82-89|94-98|121-125|130-136|149-157
fr-ud-dev_00004,fr,"L'« oasis de vie », dans un milieu où règne l'obscurité totale et une pression hydrostatique importante, est riche et varié : les chercheurs y découvrent de nouvelles espèces de bivalves, de poissons, de crustacés, de poulpes dans des zones pensées jusqu'alors désertiques.",oasis|vie|milieu|obscurité|pression|chercheurs|espèces|bivalves|poissons|crustacés|poulpes|zones,N|N|N|N|N|H|A|A|A|A|A|N,2|4|9|13|17|27|32|34|37|40|43|46,4-9|13-16|28-34|46-55|70-78|130-140|167-174|178-186|191-199|204-213|218-225|235-240
fr-ud-dev_00709,fr,"Passé professionnel en 1973, il devient champion d'Europe EBU des super-welters en 1975 puis champion du monde WBC de la catégorie le 18 juin 1976 après sa victoire par arrêt de l'arbitre au 10e round contre Elisha Obed.",professionnel|champion|super-welters|champion|monde|catégorie|juin|victoire|arrêt|arbitre|round,H|H|N|H|N|N|N|N|N|H|N,1|7|14|18|22|26|29|33|35|38|43,6-19|40-48|66-79|93-101|105-110|121-130|137-141|156-164|169-174|180-187|195-200
fr-ud-dev_00941,fr,Cette espèce est endémique de Colombie.,espèce,A,1,6-12
fr-ud-dev_00553,fr,"En arrière, un homme laboure avec un troupeau de moutons.",arrière|homme|troupeau|moutons,N|H|A|A,1|4|8|10,3-10|15-20|37-45|49-56
fr-ud-dev_01390,fr,"Bien maîtrisé par un connaisseur de la race, il peut être un compétiteur redoutable.",connaisseur|race|compétiteur,H|A|H,4|7|13,21-32|39-43|61-72
fr-ud-dev_01137,fr,Taeniacara candidi est un poisson appartenant à la famille des Cichlidae.,poisson|famille,A|A,4|8,26-33|51-58
fr-ud-dev_00538,fr,Les espèces différentes cohabitantes dans une même zone ne se nourrissent pas en général des mêmes fleurs ou sur le même étage de la flore.,espèces|zone|général|fleurs|étage|flore,A|N|N|N|N|N,1|7|13|18|23|26,4-11|51-55|81-88|99-105|121-126|133-138
fr-ud-dev_00308,fr,L'intervention de la France est ressentie comme une humiliation d'autant que leurs pays célèbrent le cinquantenaire de leur indépendance.,intervention|humiliation|pays|cinquantenaire|indépendance,N|N|H|N|N,1|9|14|17|20,2-14|52-63|83-87|101-115|124-136
fr-ud-dev_00968,fr,"Heynemann logeait dans le même hôtel qui a accueilli l'Inter a dîné avec certains dirigeants italiens et, lors de la rencontre, il a validé le but du 1-0 de Francesco Moriero où le milieu de terrain était hors-jeu et refusé deux penalties pour les Français.",hôtel|dirigeants|rencontre|but|milieu|terrain|hors-jeu|penalties|Français,N|H|N|N|N|N|N|N|H,5|15|22|28|38|40|42|46|49,31-36|82-92|117-126|143-146|181-187|191-198|205-213|229-238|248-256
fr-ud-dev_00237,fr,"Les premières sorties de l'eau connues dateraient du Dévonien supérieur, vers-365 Ma, avec Ichthyostega, « le plus ancien des vertébrés connus présentant des adaptations pour une locomotion autre que la nage ».",sorties|eau|vertébrés|adaptations|locomotion|nage,N|N|A|N|N|N,2|5|28|32|35|39,14-21|27-30|126-135|158-169|179-189|203-207
fr-ud-dev_00521,fr,Cet oiseau présente une coloration proche de celle de la Perruche élégante dont elle se distingue par un masque facial turquoise plus marqué chez le mâle que chez la femelle.,oiseau|coloration|Perruche|masque|mâle|femelle,A|N|A|N|A|A,1|4|10|18|25|29,4-10|24-34|57-65|105-111|149-153|166-173
fr-ud-dev_00756,fr,"Il est principalement connu pour être le claviériste du groupe pop rock Duran Duran, très populaire dans les années 1980.",claviériste|groupe|pop|rock|années,H|N|N|N|N,7|11|12|13|21,41-52|56-62|63-66|67-71|109-115
fr-ud-dev_01070,fr,"Harold tente alors de poser sa main sur le museau du dragon, mais celui-ci se détourne pour aller dormir et faire partir l'humain.",main|museau|dragon|humain,N|N|A|A,6|9|13|26,31-35|43-49|53-59|123-129
fr-ud-dev_00628,fr,Les internautes peuvent aussi voter pour les prix Croûte & Chef d'Œuvre.,internautes|prix|Croûte|Chef|Œuvre,H|N|N|N|N,1|7|8|10|12,4-15|45-49|50-56|59-63|66-71
fr-ud-dev_01199,fr,"Profitant du combat entre le gorille et un serpent géant, Jack réussit à délivrer Duane.",combat|gorille|serpent,N|A|A,4|7|10,13-19|29-36|43-50
fr-ud-dev_01247,fr,"Après que Peter lut dans ses pensées, Adam la détacha et cette dernière tenta de tuer le jeune Petrelli mais l'immortel lui tira dessus, la tuant sur le coup.",pensées|jeune|immortel|coup,N|H|A|N,6|18|22|31,29-36|89-94|111-119|153-157
fr-ud-dev_00672,fr,"Asterotrygon avait une forme typique de raie avec un disque plat, arrondi formé de la tête et des nageoires pectorales et une longue queue étroite avec un puissant dard.",forme|raie|disque|arrondi|tête|nageoires|queue|dard,N|A|N|N|N|N|N|N,3|6|9|12|16|19|24|29,23-28|40-44|53-59|66-73|86-90|98-107|133-138|164-168
fr-ud-dev_01269,fr,La queue est aussi un peu plus épaisse à sa base que celles des autres raies.,queue|peu|base|raies,N|N|N|A,1|5|10|17,3-8|22-25|44-48|71-76
fr-ud-dev_00078,fr,La cathédrale du Christ Rédempteur (Cathedral Church of Christ the Redeemer) de Dromore est une cathédrale anglicane britannique située en Irlande du Nord.,cathédrale|Christ|cathédrale|Nord,N|A|N|N,1|5|19|28,3-13|17-23|96-106|150-154
fr-ud-dev_01469,fr,Les lobes des bases et les glandes le distinguent des certaines espèces assez similaires de sumacs.,lobes|bases|glandes|espèces|sumacs,N|N|N|A|A,1|5|8|15|19,4-9|14-19|27-34|64-71|92-98
fr-ud-dev_00055,fr,"On notera bien évidemment le Marsupilami, qui restera en leur compagnie durant toute cette période, mais aussi la jeune journaliste Seccotine, ainsi que le comte de Champignac, qui restera un peu le grand-père de cœur des deux héros.",compagnie|période|journaliste|comte|peu|grand-père|cœur|héros,N|N|H|H|N|H|N|H,11|15|21|27|34|36|38|43,62-71|91-98|120-131|156-161|192-195|199-209|213-217|227-232
fr-ud-dev_00258,fr,Une lettre qu'il adressa le 3 avril 1568 au ministre William Cecil donne un récit détaillé de la fuite de la reine d'Écosse le 25 mars précédent.,lettre|avril|ministre|récit|fuite|reine|mars,N|N|H|N|N|H|N,1|7|12|17|21|24|29,4-10|30-35|44-52|76-81|97-102|109-114|130-134
fr-ud-dev_00377,fr,C'est un limicole noir et blanc très caractéristique avec son gros bec disproportionné par rapport à la tête.,limicole|bec|rapport|tête,A|N|N|N,3|12|15|18,9-17|67-70|91-98|104-108
fr-ud-dev_00563,fr,"Son successeur à la mairie et premier adjoint durant seize ans, Jean-Louis Schneiter, se présente aux élections municipales de 2001 en tant que divers droite alors que le député Jean-Claude Thomas se porte candidat avec le soutien de l'ancien maire.",successeur|mairie|adjoint|ans|élections|droite|député|candidat|soutien|maire,H|N|H|N|N|N|H|H|N|H,1|4|7|10|20|28|32|37|40|44,4-14|20-26|38-45|59-62|102-111|151-157|171-177|206-214|223-230|243-248
fr-ud-dev_00665,fr,"C'est lui qui recruta le successeur de Graham, le français Arsène Wenger.",successeur|français,H|H,6|11,25-35|50-58
fr-ud-dev_01302,fr,Ce haricot se mit à germer et à grandir jusqu'à atteindre les nuages.,haricot|nuages,A|N,1|13,3-10|62-68
fr-ud-dev_00361,fr,Près de 18 millions de Vénézuéliens sont appelés aux urnes de 12H30 GMT à 00H30 GMT dimanche.,millions|Vénézuéliens|urnes|dimanche,N|H|N|N,3|5|11|22,11-19|23-35|53-58|84-92
fr-ud-dev_01016,fr,"Profitez de la superbe vue sur le parc avec les chevaux et les ânes, pendant que vous dégusterez les différents mets du petit déjeuner.",vue|parc|chevaux|ânes|mets|déjeuner,N|N|A|A|N|N,4|7|10|13|21|26,23-26|34-38|48-55|63-67|112-116|126-134
fr-ud-dev_01198,fr,"En 2008, Falleron comptait 1 461 habitants (soit une augmentation de 28% par rapport à 1999).",habitants|augmentation|rapport,H|N|N,6|10|15,33-42|53-65|77-84
fr-ud-dev_01335,fr,Plusieurs centaines de personnes sont attendues à la Grande Veillée de Prière organisée par Saint Eustache en lien avec la communauté de Taizé.,centaines|personnes|lien|communauté,N|H|N|H,1|3|17|20,10-19|23-32|110-114|123-133
fr-ud-dev_00512,fr,"La marquise montait à cheval, chassait (elle avait gardé ce goût de la chasse ou elle excellait de son oncle le duc de Lorges, grand veneur, qui l'avait élevée) et pêchait en barque avec son fidèle majordome Jean Virecoulon.",marquise|cheval|goût|chasse|oncle|duc|veneur|barque|majordome,H|A|N|N|H|H|H|N|H,1|4|12|15|21|23|28|38|42,3-11|22-28|60-64|71-77|103-108|112-115|133-139|175-181|198-207
fr-ud-dev_01377,fr,"Cette inactivation de l'X (ou lyonisation) se déroule dans les stades précoces de l'embryogénèse (blastocyste), et le chromosome X inactivé est maintenu au cours de la division cellulaire : une cellule inactivant le chromosome X paternel puis se divisant donnera 2 cellules dans lesquelles le chromosome X paternel sera inactivé.",inactivation|lyonisation|stades|embryogénèse|blastocyste|chromosome|cours|division|cellule|chromosome|cellules|chromosome,N|N|N|N|A|N|N|N|A|N|A|N,1|7|13|17|19|24|32|35|39|42|50|54,6-18|30-41|63-69|84-96|98-109|118-128|156-161|168-176|194-201|216-226|265-273|293-303
fr-ud-dev_00342,fr,"Quant au cheval, en particulier le cheval ailé, il s'agit d'un symbole funéraire et d'un guide pour les âmes des morts (psychopompe).",cheval|cheval|symbole|guide|âmes|morts|psychopompe,A|A|N|N|N|H|A,4|9|17|22|25|29|31,9-15|35-41|63-70|89-94|104-108|113-118|120-131
fr-ud-dev_01428,fr,"La pièce reprend sur le ton de la comédie une partie des personnages du Voyageur sans bagage, créé l'année suivante dans la série des Pièces noires.",pièce|ton|comédie|partie|personnages|Voyageur|bagage|année|série|Pièces,N|N|N|N|A|H|N|N|N|A,1|5|8|10|14|18|20|24|28|32,3-8|24-27|34-41|46-52|57-68|72-80|86-92|101-106|124-129|134-140
fr-ud-dev_00949,fr,"Initialement proche du documentaire, l'œuvre se dote d'un rythme narratif soutenu et d'une réelle dimension dramatique grâce au travail du monteur Seth Holt.",documentaire|œuvre|rythme|dimension|grâce|travail|monteur,N|N|N|N|N|N|H,5|8|13|20|22|26|30,23-35|39-44|58-64|98-107|119-124|128-135|139-146
fr-ud-dev_00108,fr,Les nomades et les Tchadiens de l'étranger ont pu voter du 3 au 6 juin.,nomades|Tchadiens|étranger|juin,H|H|H|N,1|4|7|19,4-11|19-28|34-42|66-70
fr-ud-dev_00818,fr,"La Bourse de Paris a terminé en fanfare jeudi (+ 3,05%), retrouvant le niveau des 3.600 points, sur un marché dopé par la bonne tenue de Wall Street, le secteur de l'immobilier américain et des indicateurs européens redonnant confiance aux intervenants.",Bourse|fanfare|jeudi|niveau|points|marché|tenue|secteur|immobilier|indicateurs|confiance|intervenants,N|N|N|N|N|N|N|N|N|N|N|H,1|7|8|17|22|26|31|37|40|44|47|51,3-9|32-39|40-45|71-77|88-94|103-109|128-133|153-160|166-176|194-205|226-235|240-252
fr-ud-dev_00852,fr,"Ainsi en découle la production de plusieurs familles de produits : les fromages de chèvre et de vache, le beurre, la crème, les produits laitiers biologiques, les fromages à pizza, les fromages ingrédients prétranchés surgelés et les ingrédients laitiers (poudres, caséines, mélanges fonctionnels).",production|familles|produits|fromages|chèvre|vache|beurre|crème|produits|fromages|pizza|fromages|ingrédients|ingrédients|poudres|caséines|mélanges,N|N|N|N|A|A|N|N|N|N|N|N|N|N|N|N|N,4|7|9|12|14|17|20|23|26|31|33|36|37|42|45|47|49,20-30|44-52|56-64|71-79|83-89|96-101|106-112|117-122|128-136|163-171|174-179|185-193|194-205|234-245|256-263|265-273|275-283
fr-ud-dev_00040,fr,"Tarzan, l'homme singe, règne en maître sur son domaine, la jungle.",homme|singe|maître|domaine|jungle,H|A|N|N|N,3|4|8|11|14,10-15|16-21|32-38|47-54|59-65
fr-ud-dev_01395,fr,La lutte des classes est un processus d'apprentissage.,lutte|classes|processus|apprentissage,N|H|N|N,1|5|8|10,3-8|13-20|28-37|40-53
