sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
train-s815,eu,"Bof, primadera dun.",primadera,A,2,5-14
train-s2875,eu,"ITALIAK, diotenez, ""Jainkoaren laguntza du"" Eurokopa honetan.",Jainkoaren|laguntza,A|N,5|6,20-30|31-39
train-s3290,eu,Balizko igoeraren inguruan Iruñean sortu den giroarekin oso pozik azaldu zen atzo Miguel Angel Lotina entrenatzailea.,igoeraren|giroarekin|entrenatzailea,N|N|H,1|6|15,8-17|45-55|102-116
train-s414,eu,Atzelariak ere ez ziren oso fin aritu.,Atzelariak,H,0,0-10
train-s2417,eu,"Zaldi hura baino azkarragoa zen, bai, Fittipaldi!",Zaldi,A,0,0-5
train-s1605,eu,Gizonak baditinagu.,Gizonak,H,0,0-7
train-s2353,eu,Landarearen ingurua garbi edukitzea beharrezko da.,Landarearen|ingurua,A|N,0|1,0-11|12-19
train-s4905,eu,"Beti giza saldoan txintxo bazabiltza inola berezitu gabe, gizarteak bere modura sarituko zaitu:",giza|saldoan|gizarteak,A|N|H,1|2|9,5-9|10-17|58-67
train-s3975,eu,Beldurra ematen dioten bakarrak itsasertzetik hurbil dabiltzan marrazoak dira.,Beldurra|itsasertzetik|marrazoak,N|N|A,0|4|7,0-8|32-45|63-72
train-s1359,eu,"Honezkero, Samoako morroiak eta aitak bereak eta bi izan dituzte etxean (imajina ezazue ehun kiloko morrosko bi elkarri lepoa bihurritu nahian), eta neskak moztea erabaki du.",morroiak|aitak|etxean|kiloko|morrosko|lepoa|neskak,A|H|N|N|A|N|H,3|5|11|16|17|20|26,19-27|32-37|65-71|93-99|100-108|120-125|149-155
train-s4964,eu,"Gol aukera garbiena Javi Gonzalezek izan zuen 66 minutuan, baina Zorrotzakoaren jaurtiketak langan jo zuen.",Gol|aukera|minutuan|Zorrotzakoaren|jaurtiketak|langan,N|N|N|A|N|N,0|1|8|11|12|13,0-3|4-10|49-57|65-79|80-91|92-98
train-s2702,eu,"Zugic kostaldeko Herceg Novi hiriko poliziaburua izan zen, eta ondoren hartu zuen ardura hori Podgorican.",kostaldeko|hiriko|poliziaburua|ardura,N|N|H|N,1|4|5|13,6-16|29-35|36-48|82-88
train-s2041,eu,"Jardunaldiko ezustekoa, baina, emakumeetan egon zen:",Jardunaldiko|ezustekoa|emakumeetan,N|N|H,0|1|5,0-12|13-22|31-42
train-s3136,eu,"(EH sinbolizatzeko, seguru, antzara hobeto dago; zisneak eta Wagnerri utzirik edo Txaikovskiri).",antzara|zisneak,A|A,6|10,28-35|49-56
train-s3274,eu,"- Pepita eta Harum-El-Azah ezkondu egin ziren, San Antonio esaten diogun ermita txiki batean.",San|ermita,A|N,8|12,47-50|73-79
train-s4304,eu,"Baina hitzaurreak azpimarratzen duenez, «Europako Kontseiluak uste du agiria hitzarmenean sartu beharko litzatekeela, indar legala izateko Europako Batasuneko agintarien gainean eta edozein herritarrek auzitegietara jotzeko oinarria izan dadin».",hitzaurreak|Kontseiluak|uste|agiria|hitzarmenean|indar|Batasuneko|agintarien|herritarrek|auzitegietara|oinarria,N|N|N|N|N|N|N|H|H|N|N,1|7|8|10|11|16|20|21|25|26|28,6-17|50-61|62-66|70-76|77-89|118-123|148-158|159-169|190-201|202-215|224-232
train-s4238,eu,"Zenbait kidek - Erresuma Batuak, batez ere - ez dute onartzen estatuengan eragina izatea; Frantziak, Holandak eta Alemaniak, aldiz, indar legala eman nahi diote.",kidek|Erresuma|estatuengan|eragina|indar|nahi,H|N|H|N|N|N,1|3|12|13|24|27,8-13|16-24|62-73|74-81|132-137|150-154
train-s1235,eu,Hurbiltzen hasi zirenean Kurt asaldatu egin zen azken hauetako bat Rollin komisarioa zela ikusi zuenean.,komisarioa,H,11,74-84
train-s4575,eu,"Definizio ideal, utopiko eta prospektiboa da eta horra gizarte eta gizakia hurbildu behar dira, baina Lain Entralgoren ustean ez du azaltzen ""egokiro pertsonaren bizitzan osasuna deitzen duguna"".",Definizio|gizarte|gizakia|ustean|pertsonaren|bizitzan|osasuna,N|N|A|N|H|N|N,0|9|11|19|25|26|27,0-9|55-62|67-74|119-125|150-161|162-170|171-178
