sentence_id,language,text,tokens,animacy_labels,label_token_indexes,label_char_spans
WR-P-E-I-0000050381.p.1.s.276,nl,"Dit gerecht wordt gemaakt van het vlees van een jong varken, een big, van ongeveer zes weken oud.",gerecht|vlees|varken|big|weken,N|N|A|A|N,1|6|10|13|18,4-11|34-39|53-59|65-68|87-92
WR-P-E-I-0000027197.p.3.s.170.2,nl,De Ferengi is een ras van kleine mensachtigen met enorm grote oren.,ras|mensachtigen|oren,A|A|N,4|7|11,18-21|33-45|62-66
wiki-1928.p.6.s.1,nl,« Man Bijt Hond » (1997-?),Man|Hond,H|A,1|3,2-5|11-15
WR-P-E-I-0000050381.p.1.s.15,nl,"Hun voedsel was fruit, noten en paddestoelen.",voedsel|fruit|noten|paddestoelen,N|N|A|A,1|3|5|7,4-11|16-21|23-28|32-44
WR-P-E-I-0000024561.p.4.s.65,nl,Brel wordt op piano begeleid door zowel François Rauber als Gérard Jouannest; de accordeonist is Jean Corti.,piano|accordeonist,N|H,3|14,14-19|81-93
WR-P-E-I-0000042791.p.2.s.4,nl,"Bij de meest gebruikelijke methode wordt bier gebrouwen uit gerst, water, hop en gist.",methode|bier|gerst|water|hop|gist,N|N|A|N|A|A,4|6|9|11|13|15,27-34|41-45|60-65|67-72|74-77|81-85
WR-P-E-I-0000032165.p.5.s.233,nl,"De gematigdere goudkevers wezen op goud als haag tegen goedereninflatie, en als indicator van extractie van hulpbronnen, volgens hun is goud een wapen tegen monetaire beleidsdwaasheden van centrale banken, en een middel om schommelingen in wisselkoersen te dempen, aangezien goud in om het even welke munt, op een hoogst liquide wereldmarkt, in bijna om het even welk land op de wereld kan worden verkocht.",goudkevers|goud|haag|goedereninflatie|indicator|extractie|hulpbronnen|goud|wapen|beleidsdwaasheden|banken|middel|schommelingen|wisselkoersen|goud|munt|wereldmarkt|land|wereld,A|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N,2|5|7|9|13|15|17|22|24|27|30|34|36|38|43|49|55|63|66,15-25|35-39|44-48|55-71|80-89|94-103|108-119|136-140|145-150|167-184|198-204|213-219|223-236|240-253|275-279|301-305|329-340|368-372|379-385
WR-P-E-I-0000050381.p.1.s.280,nl,Rauw sjink is ook vlees van het varken.,vlees|varken,N|A,4|7,18-23|32-38
wiki-3668.p.5.s.3,nl,"Hoogste punt: Remersdaal, 287,5 m (hoogste punt van Vlaanderen), gevolgd door de ""Galgenboom"" van Millen (Riemst) op 151 m.",punt|punt|Galgenboom,N|N|A,1|9|18,8-12|43-47|82-92
WR-P-E-I-0000027216.p.1.s.175,nl,"Op 8 november 1933 werd Nadir Shah doodgeschoten door een paleisbediende, een aanhanger van Aman Allah.",paleisbediende|aanhanger,H|H,10|13,58-72|78-87
WR-P-E-I-0000000006.p.11.s.6,nl,Daarmee wordt het eiland voor dieren en mensen eenvoudig toegankelijk en onstaat het risico van een antraxuitbraak.,eiland|dieren|mensen|risico|antraxuitbraak,N|A|A|N|N,3|5|7|13|16,18-24|30-36|40-46|85-91|100-114
WR-P-E-I-0000000332.p.4.s.60,nl,Ditvoorst leven werd alsmaar pessimistischer en eenzamer.,leven,A,1,10-15
